category,topic,question,keywords
プロダクト,プロダクトの価値とは何か,ユーザーはSaaSの何にお金を払っているのか,ジョブ理論・価値提案・成果・代替手段
プロダクト,機能追加はなぜプロダクトを弱くすることがあるのか,便利にするほど使いにくくなるのはなぜか,機能肥大・複雑性・選択肢・プロダクト戦略
プロダクト,オンボーディングとは何か,ユーザーが最初に価値を感じるまでに何が必要なのか,初回体験・Activation・Time to Value・導線
ユーザー理解,ユーザーインタビューは何を聞くべきか,本音を聞きたいときに直接欲しいものを聞いてはいけないのはなぜか,課題発見・行動事実・仮説検証・Jobs to be Done
ユーザー理解,ペルソナより行動を見るとはどういうことか,属性よりも行動がSaaS開発で重要になるのはなぜか,セグメント・利用頻度・行動ログ・コンテキスト
事業,解約率は何を教えてくれるのか,チャーンは単なる失敗指標ではなく何のサインなのか,Churn・Retention・継続価値・顧客成功
事業,価格設定とは何か,SaaSの価格はコストではなく何を基準に考えるべきか,価格・支払意思・プラン設計・価値ベース pricing
事業,LTVとCACはなぜ重要なのか,良いプロダクトでも事業として成立しないことがあるのはなぜか,LTV・CAC・ユニットエコノミクス・回収期間
設計,権限設計はなぜ難しいのか,ユーザーが増えるほど権限管理が複雑になるのはなぜか,RBAC・組織設計・監査ログ・責任境界
設計,通知はなぜ嫌われるのか,ユーザーを助けるはずの通知がノイズになるのはなぜか,通知設計・注意資源・優先度・リテンション
設計,ダッシュボードは何を見せるべきか,情報を並べるだけでは意思決定につながらないのはなぜか,情報設計・意思決定・KPI・可視化
UX,空状態はなぜ重要なのか,データがない画面こそプロダクトの価値を伝える場所なのはなぜか,Empty State・初回体験・行動喚起・期待形成
UX,エラーメッセージは誰のためにあるのか,エラー表示がプロダクト体験を大きく左右するのはなぜか,エラー設計・復旧可能性・信頼・マイクロコピー
運用,管理画面はプロダクトの裏側ではなく何なのか,社内運用の設計がユーザー体験に影響するのはなぜか,管理画面・オペレーション・CS・データ修正
運用,SLAとは何か,SaaSで信頼を売るとはどういうことか,SLA・可用性・障害対応・ステータスページ
開発,技術的負債はいつ問題になるのか,コードの汚さが事業判断を遅くするのはなぜか,技術的負債・変更容易性・保守性・設計
開発,ログはなぜプロダクト開発の材料なのか,ログは障害調査だけでなく何を教えてくれるのか,イベント設計・分析・監視・行動理解
開発,マルチテナントとは何か,SaaSで複数の顧客を同じ仕組みに載せると何が難しくなるのか,テナント分離・データ境界・スケーラビリティ・権限
設計,監査ログはなぜ必要なのか,誰が何をしたかを残すことは権限設計や運用にどう効くのか,監査ログ・説明責任・権限・セキュリティ
運用,カスタマーサクセスは何を成功させるのか,問い合わせ対応ではなく顧客の成果を支えるとはどういうことか,CS・オンボーディング・活用支援・継続価値
事業,アップセルはいつ提案すべきか,売上を伸ばす提案とユーザーの成功を助ける提案はどう違うのか,アップセル・プラン設計・利用成熟度・顧客価値
プロダクト,ロードマップは誰のためにあるのか,作る機能の予定表ではなく判断の共有物として扱うには何が必要なのか,ロードマップ・優先順位・期待調整・戦略
運用,障害対応はなぜプロダクト体験の一部なのか,障害そのものより対応の仕方が信頼を左右するのはなぜか,インシデント・障害対応・透明性・信頼
事業,トライアル期間は何を検証するためにあるのか,無料で使ってもらう期間は導入判断の何を前に進めるべきなのか,トライアル・Activation・導入判断・価値実感
プロダクト,利用頻度が低い機能をどう判断すべきか,使われていない機能は不要なのか、それとも重要な保険なのか,利用頻度・機能評価・業務頻度・意思決定
運用,サポート問い合わせは何を教えてくれるのか,問い合わせを個別対応で終わらせずプロダクト改善につなげるには何を見るべきか,問い合わせ・VOC・改善要望・運用課題
設計,データインポートはなぜ難しいのか,最初にデータを入れる体験がSaaSの導入を左右するのはなぜか,データ移行・CSVインポート・導入支援・初期設定
事業,プランの違いは何で分けるべきか,価格プランを機能差だけで分けると何が起きるのか,プラン設計・利用規模・価値指標・パッケージング
