category,topic,question,keywords
歴史,貨幣とは何か,なぜ人は紙や数字に価値を感じるのか,信用・交換・国家・市場
歴史,ルネサンスが生まれた理由,なぜ中世ヨーロッパから新しい芸術と思想が広がったのか,都市・商業・人文主義・印刷
歴史,明治維新は何を変えたのか,なぜ日本は短期間で近代国家へ変わろうとしたのか,近代化・中央集権・殖産興業・国民国家
哲学,自由とは何か,自由は好きに選べることだけで説明できるのか,自由意志・責任・制約・自律
哲学,幸福とは何か,幸福は快楽なのか、意味なのか,快楽・徳・意味・比較
哲学,正義とは何か,正しさは誰がどのように決めるのか,公平・権利・功利主義・共同体
宗教,なぜ宗教はなくならないのか,科学が発達しても宗教が残るのはなぜか,儀礼・共同体・死生観・物語
宗教,日本の神道とは何か,神道は宗教なのか文化なのか,神社・祭り・自然観・共同体
科学,科学はなぜ信頼できるのか,科学的な説明は何によって強くなるのか,仮説・検証・再現性・反証可能性
科学,睡眠はなぜ必要なのか,人間はなぜ人生の多くを眠って過ごすのか,記憶・回復・体内時計・健康
科学,エントロピーとは何か,なぜ物事は放っておくと散らかる方向へ進むのか,熱力学・秩序・不可逆性・時間
経済,インセンティブとは何か,人の行動はどのような誘因で変わるのか,報酬・罰・制度設計・行動経済学
経済,資本主義とは何か,資本主義は何を豊かにし、何を難しくするのか,市場・資本・労働・成長
経済,なぜインフレは起きるのか,物価が上がるとは社会で何が起きている状態なのか,需要・供給・貨幣・期待
政治,民主主義の弱点,多数決はいつも正しい決め方なのか,多数派・少数派・熟議・ポピュリズム
政治,国家とは何か,なぜ人は国家という仕組みを作るのか,主権・法律・暴力・税
社会,メディアリテラシーとは何か,情報が多い時代に何を疑えばよいのか,一次情報・バイアス・編集・拡散
社会,SNSはなぜ分断を生みやすいのか,つながる道具が対立を強めることがあるのはなぜか,アルゴリズム・承認・炎上・集団極性化
心理,認知バイアスとは何か,人間の判断はなぜ自然に歪むのか,ヒューリスティック・確証バイアス・錯覚・意思決定
心理,物語はなぜ人を動かすのか,事実だけでなく物語が必要とされるのはなぜか,ナラティブ・記憶・共感・意味
芸術,芸術はなぜ必要なのか,役に立たないように見えるものに価値があるのはなぜか,美・表現・鑑賞・社会批評
文学,古典を読む意味,昔の本をいま読む価値はどこにあるのか,普遍性・時代背景・解釈・人間理解
日本文化,茶道とは何か,茶道はなぜ単なる飲食以上の文化になったのか,わびさび・作法・空間・もてなし
世界文化,異文化理解とは何か,違う文化を理解するとは何をすることなのか,相対主義・翻訳・価値観・慣習
テクノロジー,AIと著作権,生成AIは創作と権利の考え方をどう変えるのか,学習データ・創作性・権利・倫理
テクノロジー,アルゴリズムとは何か,手順が社会を動かすとはどういうことか,計算・最適化・推薦・透明性
健康,健康情報をどう見抜くか,体に良いという情報をどう判断すればよいのか,エビデンス・相関・因果・リスク
