category,topic,question,keywords
基礎,アクセシビリティとは何か,アクセシビリティは特定の人だけのためではなく何を広げる考え方なのか,Accessibility・包摂・利用可能性・品質
設計,アクセシビリティはなぜ後付けしにくいのか,完成後に直すより最初から設計に含めるべきなのはなぜか,後付け・設計負債・構造・運用
操作,キーボード操作できるUIとは何か,マウスなしで操作できることはUIの何を保証しているのか,Keyboard Navigation・Tab Order・操作可能性・Focus
色,色だけに頼るUIはなぜ危ないのか,色の違いだけで状態や意味を伝えると誰が困るのか,Color Contrast・色覚多様性・状態表示・冗長性
フォーカス,フォーカス状態はなぜ重要なのか,いまどこを操作しているかが見えないUIはなぜ使いにくいのか,Focus Visible・現在位置・操作導線・キーボード
読み上げ,スクリーンリーダーはUIをどう読むのか,見た目の順番と読み上げ順がずれると何が起きるのか,Screen Reader・Semantic HTML・読み上げ順・代替テキスト
フォーム,フォームのラベルはなぜ省略してはいけないのか,見た目では分かる入力欄でもラベルが必要なのはなぜか,Label・Input・Name・Error Association
エラー,エラーメッセージは誰にどう伝えるべきか,エラーを色や位置だけで示すとユーザーは何を見失うのか,Error Message・aria-describedby・復旧・明確性
デザイン,アクセシビリティとデザインの美しさは対立するのか,使いやすさを上げることは見た目の自由度を下げるだけなのか,Design Quality・制約・読みやすさ・一貫性
運用,SaaSプロダクトでアクセシビリティをどう運用するか,個人の努力ではなくチームの仕組みにするには何が必要なのか,チェックリスト・レビュー・Design System・継続改善
