category,topic,question,keywords
一覧,一覧画面はなぜプロダクトの性格を決めるのか,ユーザーが日常的に見る一覧にはどんな判断材料が必要なのか,一覧・情報設計・スキャン・業務導線
検索,検索・フィルター・ソートはなぜ設計が難しいのか,探す操作を増やすほどユーザーの迷いも増えるのはなぜか,検索・フィルター・ソート・情報探索
詳細,詳細画面は何を中心に設計すべきか,対象の情報を見せるだけでなく次の判断へつなげるには何が必要なのか,Detail View・情報階層・主要アクション・文脈
テーブル,テーブルUIはなぜ設計が難しいのか,大量の情報を一覧できるUIがかえって読みにくくなるのはなぜか,Table・列設計・固定表示・密度
一括操作,一括操作はなぜ慎重に設計すべきなのか,複数対象をまとめて変更できるUIにはどんな誤操作リスクがあるのか,Bulk Action・選択状態・確認・取り消し
ナビゲーション,サイドナビゲーションは何を整理するべきか,画面遷移の入口を並べるだけでは現在地が分かりにくくなるのはなぜか,Side Navigation・情報設計・現在地・階層
モーダル,モーダルはなぜ使いすぎると危険なのか,操作を中断させるUIはどんなときに有効でどんなときに邪魔になるのか,Modal・中断・確認・認知負荷
エラー,エラー表示はユーザーに何を伝えるべきか,失敗を知らせるだけではユーザーが復帰できないのはなぜか,Error Message・復旧・信頼・マイクロコピー
設定,設定画面はなぜ複雑になりやすいのか,あらゆる例外を設定に逃がすとプロダクトはどう扱いにくくなるのか,Settings・デフォルト・例外・情報設計
権限,権限管理UIはなぜ分かりにくくなるのか,組織や役割の複雑さを画面で表すと何が難しくなるのか,Permission・Role・RBAC・組織設計
