category,topic,question,keywords
基礎,デザインシステムとは何か,デザインシステムは単なるUI部品集ではなく何を支える仕組みなのか,原則・コンポーネント・トークン・運用
コンポーネント,ボタンコンポーネントはなぜ難しいのか,小さな部品に見えるボタンに多くの設計判断が集まるのはなぜか,状態・バリアント・アクセシビリティ・責務
トークン,デザイントークンは何を解決するのか,色や余白を名前で管理すると何が変わるのか,Design Token・意味づけ・一貫性・テーマ
設計,コンポーネントの自由度はどこまで許すべきか,再利用性と柔軟性のバランスはどこで崩れるのか,API設計・制約・拡張性・保守性
連携,Figmaとコードの差分はなぜ生まれるのか,デザインと実装が同じものを見ているはずなのにずれるのはなぜか,Figma・実装差分・同期・レビュー
設計,バリアント設計はなぜ複雑になりやすいのか,状態やサイズを増やすほどコンポーネントが扱いにくくなるのはなぜか,Variant・Props・組み合わせ爆発・命名
組織,デザインシステムは誰のためにあるのか,デザイナーとエンジニア以外にどんな利用者がいるのか,利用者・プロダクトチーム・合意形成・生産性
基礎,コンポーネントライブラリとデザインシステムは何が違うのか,UI部品が揃っていてもデザインシステムとは言えないのはなぜか,ライブラリ・原則・ドキュメント・運用
運用,デザインシステムの運用はなぜ作ることより難しいのか,最初の整備より継続利用と更新が難しくなるのはなぜか,ガバナンス・変更管理・採用・負債
変更管理,破壊的変更をどう扱うべきか,既存画面を壊す変更をどのように計画し伝えるべきか,Breaking Change・移行・リリースノート・互換性
